ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              004                    005                    006                    007                    008                    009                    010                    011                    012                    013                    014                    015                    016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111                    112                    113                    114                    115                    116                    117                    118                    119                    120                    121                    122                    123        
Frame 0132    0001 00000000000058be  0001 0000000000000000  0001 0000000000005254  0001 0000000000000000  0001 000000000000581e  0001 0000000000000000  0001 00000000000054b2  0001 0000000000000000  0001 0000000000005632  0001 0000000000000000  0001 0000000000005278  0001 0000000000000000  0001 0000000000005896  0001 0000000000000000  0001 0000000000005400  0001 0000000000000000  0001 0000000000005234  0001 0000000000000000  0001 00000000000058be  0001 0000000000000000  0001 0000000000005688  0001 0000000000000000  0001 00000000000054ac  0001 0000000000000000  0001 0000000000005426  0001 0000000000000000  0001 0000000000005266  0001 0000000000000000  0001 000000000000565e  0001 0000000000000000  0001 000000000000507c  0001 0000000000000000  0001 000000000000520a  0001 0000000000000000  0001 000000000000525a  0001 0000000000000000  0001 00000000000058de  0001 0000000000000000  0001 000000000000528c  0001 0000000000000000  0001 0000000000005612  0001 0000000000000000  0001 000000000000506a  0001 0000000000000000  0001 000000000000585a  0001 0000000000000000  0001 00000000000050d2  0001 0000000000000000  0001 000000000000565c  0001 0000000000000000  0001 00000000000058a8  0001 0000000000000000  0001 00000000000052b2  0001 0000000000000000  0001 0000000000005244  0001 0000000000000000  0001 0000000000005424  0001 0000000000000000  0001 000000000000584a  0001 0000000000000000  0001 000000000000505a  0001 0000000000000000  0001 000000000000585c  0001 0000000000000000  0001 0000000000005082  0001 0000000000000000  0001 0000000000005650  0001 0000000000000000  0001 0000000000005804  0001 0000000000000000  0001 0000000000005482  0001 0000000000000000  0001 000000000000521e  0001 0000000000000000  0001 00000000000052ce  0001 0000000000000000  0001 0000000000005400  0001 0000000000000000  0001 0000000000005602  0001 0000000000000000  0001 0000000000005856  0001 0000000000000000  0001 00000000000050dc  0001 0000000000000000  0001 000000000000548c  0001 0000000000000000  0001 000000000000584c  0001 0000000000000000  0001 00000000000052c8  0001 0000000000000000  0001 00000000000058cc  0001 0000000000000000  0001 00000000000054ac  0001 0000000000000000  0001 000000000000506a  0001 0000000000000000  0001 00000000000056a6  0001 0000000000000000  0001 00000000000056a4  0001 0000000000000000  0001 0000000000005630  0001 0000000000000000  0001 0000000000005006  0001 0000000000000000  0001 000000000000520b  0001 0000000000000000  0001 0000000000005054  0001 0000000000000000  0001 00000000000052e8  0001 0000000000000000  0001 0000000000005609  0001 0000000000000000  0001 0000000000005818  0001 0000000000000000  0001 00000000000052a0  0001 0000000000000000  0001 00000000000056bc  0001 0000000000000000  0001 0000000000005884  0001 0000000000000000
Frame 0133    0001 4a283a3498828a24  0001 0000000000000000  0001 4e6e3642aa30965a  0001 0000000000000000  0001 54223464a46094d4  0001 0000000000000000  0001 56143a03ace288c0  0001 0000000000000000  0001 54044418ae2c8c86  0001 0000000000000000  0001 4a033292a06a829c  0001 0000000000000000  0001 52403632a0ec8cbe  0001 0000000000000000  0001 5848422ea20c8280  0001 0000000000000000  0001 4ade32d4a61e8a58  0001 0000000000000000  0001 58c43a20a4e48c54  0001 0000000000000000  0001 4c2446deaa88884a  0001 0000000000000000  0001 48ec44229ade8a62  0001 0000000000000000  0001 523c42569a348e8c  0001 0000000000000000  0001 4886365e9c3e82c6  0001 0000000000000000  0001 489c38a4a8048eda  0001 0000000000000000  0001 4a3834b6981a84b4  0001 0000000000000000  0001 4c9a42ba9a0b946e  0001 0000000000000000  0001 486c4206a4e0801c  0001 0000000000000000  0001 50383ce2ae3c967c  0001 0000000000000000  0001 54b436deacb0801e  0001 0000000000000000  0001 500d4070a69880d6  0001 0000000000000000  0001 4e204680a8dc86e4  0001 0000000000000000  0001 528e34849caa8e12  0001 0000000000000000  0001 5cde3c54a2348050  0001 0000000000000000  0001 52d6465aa8ba9292  0001 0000000000000000  0001 48443092a4608834  0001 0000000000000000  0001 565430a4980982da  0001 0000000000000000  0001 5ab2423ca0de8072  0001 0000000000000000  0001 4ed84688a08a9042  0001 0000000000000000  0001 522a36cc9c56903a  0001 0000000000000000  0001 50a036ecaaa88486  0001 0000000000000000  0001 52de343ca004908e  0001 0000000000000000  0001 586242109a66820c  0001 0000000000000000  0001 5e05302ca05e8024  0001 0000000000000000  0001 5a6430469a128a22  0001 0000000000000000  0001 5c7242dc9e528aac  0001 0000000000000000  0001 5a7c3c68aa848e1a  0001 0000000000000000  0001 4a94325aa81a849c  0001 0000000000000000  0001 520b3832ae2a8a96  0001 0000000000000000  0001 52d23ec6a6568238  0001 0000000000000000  0001 5eb2402a98ec86c8  0001 0000000000000000  0001 54d84606a49e8cce  0001 0000000000000000  0001 50a23ca4a4448a5e  0001 0000000000000000  0001 4ea43e329e0196b8  0001 0000000000000000  0001 5034424eaeae9044  0001 0000000000000000  0001 4ec836e698988ae2  0001 0000000000000000  0001 587a32079ac886d4  0001 0000000000000000  0001 4e8e4250a0a88030  0001 0000000000000000  0001 526c3e5a98d688d8  0001 0000000000000000  0001 5c4044a0ae8694c8  0001 0000000000000000  0001 56ae3644ae088686  0001 0000000000000000  0001 4e903cd0aa1e960c  0001 0000000000000000  0001 542e32c4a2ae86a8  0001 0000000000000000  0001 4ae03007aaea967a  0001 0000000000000000  0001 50a63a7c9a0a8ec2  0001 0000000000000000  0001 5a6a3296a49886a0  0001 0000000000000000  0001 50053e909e80922e  0001 0000000000000000  0001 50e43c01aca8805a  0001 0000000000000000  0001 4a844488ac4694b2  0001 0000000000000000  0001 48c830049e0786e4  0001 0000000000000000
Frame 0134    0001 322e26da9230847e  0001 0000000000000000  0001 304c20a694098266  0001 0000000000000000  0001 364c204892a2862c  0001 0000000000000000  0001 36702660929e80ce  0001 0000000000000000  0001 321420d892bc82e8  0001 0000000000000000  0001 3424246090e6825c  0001 0000000000000000  0001 36e4220f969080be  0001 0000000000000000  0001 34b8245e940182a0  0001 0000000000000000  0001 32da200b908286d8  0001 0000000000000000  0001 36d420b6949284a4  0001 0000000000000000  0001 340d20d490368044  0001 0000000000000000  0001 341a265a96e8840b  0001 0000000000000000  0001 32d82256940884ae  0001 0000000000000000  0001 342220c0909a80b8  0001 0000000000000000  0001 3236205296ae8076  0001 0000000000000000  0001 34a4244a9698805e  0001 0000000000000000  0001 3090247a940b8048  0001 0000000000000000  0001 32c0243e964e84b0  0001 0000000000000000  0001 36d026e690608020  0001 0000000000000000  0001 3642206494b48268  0001 0000000000000000  0001 30e2220092ce80d2  0001 0000000000000000  0001 323624ee94648454  0001 0000000000000000  0001 301a24c892ea8220  0001 0000000000000000  0001 303026c6901284a8  0001 0000000000000000  0001 36c4268e927a8636  0001 0000000000000000  0001 301a202a962080c6  0001 0000000000000000  0001 320c2078920a80e2  0001 0000000000000000  0001 30182405927c8078  0001 0000000000000000  0001 323a200490a08476  0001 0000000000000000  0001 345c24bc96848416  0001 0000000000000000  0001 32be22c496c48418  0001 0000000000000000  0001 30a0246e96408210  0001 0000000000000000  0001 3270203e90bc869e  0001 0000000000000000  0001 342024689209840f  0001 0000000000000000  0001 32e024ba926a8030  0001 0000000000000000  0001 362e2208960d82a6  0001 0000000000000000  0001 306020ee9260848c  0001 0000000000000000  0001 327a226a960380c8  0001 0000000000000000  0001 36302622900a86ea  0001 0000000000000000  0001 369c2264902a8660  0001 0000000000000000  0001 3690202c9664800b  0001 0000000000000000  0001 34a2244c94268624  0001 0000000000000000  0001 34d020be925484d8  0001 0000000000000000  0001 327824b69494862c  0001 0000000000000000  0001 349a242694708440  0001 0000000000000000  0001 320d223894e28030  0001 0000000000000000  0001 3690241492cc8688  0001 0000000000000000  0001 347220249248828e  0001 0000000000000000  0001 301622ec924082aa  0001 0000000000000000  0001 36e6228e907686b8  0001 0000000000000000  0001 36342202963082d2  0001 0000000000000000  0001 36e6224696da860d  0001 0000000000000000  0001 32ac24e496c280b0  0001 0000000000000000  0001 36ae20ce9201823e  0001 0000000000000000  0001 3672262696728286  0001 0000000000000000  0001 362a2422966886aa  0001 0000000000000000  0001 36142460947080d6  0001 0000000000000000  0001 322a265c940d8614  0001 0000000000000000  0001 303024a8929c829c  0001 0000000000000000  0001 34062274920d8062  0001 0000000000000000
Frame 0135    0001 0000512ca4ca820e  0001 0000000000000000  0001 0000518db53296c5  0001 0000000000000000  0001 000042b8b5c78e07  0001 0000000000000000  0001 0000537fa2208e1c  0001 0000000000000000  0001 00004c67b8bc89e2  0001 0000000000000000  0001 000055dea7ba8c50  0001 0000000000000000  0001 000043e3a91f854f  0001 0000000000000000  0001 00004393bbac93e3  0001 0000000000000000  0001 00005982b1259890  0001 0000000000000000  0001 0000537aa05a81b3  0001 0000000000000000  0001 000044b1aca1919b  0001 0000000000000000  0001 00004f47b9e39e96  0001 0000000000000000  0001 00004d1fb8368e61  0001 0000000000000000  0001 0000480fa92d920c  0001 0000000000000000  0001 0000574eb8029d97  0001 0000000000000000  0001 00005904a6778123  0001 0000000000000000  0001 00004c83a4748bdf  0001 0000000000000000  0001 000054f6bc069886  0001 0000000000000000  0001 00005c62a16791bd  0001 0000000000000000  0001 0000560da6a19fd2  0001 0000000000000000  0001 00004bb8bda69d9e  0001 0000000000000000  0001 00004465a3608497  0001 0000000000000000  0001 0000555db4b29c39  0001 0000000000000000  0001 0000438abbcf8079  0001 0000000000000000  0001 000041d3a468822e  0001 0000000000000000  0001 00004a0db0948272  0001 0000000000000000  0001 000048a0bf119e5c  0001 0000000000000000  0001 00004f23a8c7840f  0001 0000000000000000  0001 000042a5b2fb834c  0001 0000000000000000  0001 0000400cb2bb9cc3  0001 0000000000000000  0001 000055d3a01e8e03  0001 0000000000000000  0001 000054c6a3009421  0001 0000000000000000  0001 00004568b2578097  0001 0000000000000000  0001 00005185ba9a8b4e  0001 0000000000000000  0001 0000460daa1299ac  0001 0000000000000000  0001 0000445fbe5a9c29  0001 0000000000000000  0001 000057cfa76e81f1  0001 0000000000000000  0001 0000551ba94b905a  0001 0000000000000000  0001 0000439aa7c487bf  0001 0000000000000000  0001 00005019bf43853c  0001 0000000000000000  0001 00004690ac429aea  0001 0000000000000000  0001 00005be1b2a4809c  0001 0000000000000000  0001 00004daeb79b8c57  0001 0000000000000000  0001 00004f44a5c29aa3  0001 0000000000000000  0001 00004e90a0e28035  0001 0000000000000000  0001 0000447eb191914e  0001 0000000000000000  0001 000055c4a5068364  0001 0000000000000000  0001 00005b2bb2688fbc  0001 0000000000000000  0001 00004f88a5639381  0001 0000000000000000  0001 00005f8eb9569ef1  0001 0000000000000000  0001 00004b64a24c83d5  0001 0000000000000000  0001 00004b8dafed92b4  0001 0000000000000000  0001 0000443db6059936  0001 0000000000000000  0001 00004c6fb6f487d4  0001 0000000000000000  0001 00005452a5229875  0001 0000000000000000  0001 00004275ad1e88f7  0001 0000000000000000  0001 00004226ae79974b  0001 0000000000000000  0001 00004d31aaf999d7  0001 0000000000000000  0001 000051c2aa8986ef  0001 0000000000000000  0001 000046bbb4b890d1  0001 0000000000000000
Frame 0136    0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000  0001 0000000000000000
Frame 0137    0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000  0101 0000000000000000
Frame 0138    0001 242e146c8c0e8007  0001 80004ba3b4b89eef  0001 26921cc49201866e  0001 8000459fb2c1901f  0001 1ea81a0590038232  0001 80004a1ab0e39727  0001 1eac149e928e801a  0001 800045ddaf8590c0  0001 20921c4e8e3882c2  0001 80005d65b8959089  0001 2290180d8e5a868c  0001 80005624add98432  0001 1e8618828a5884e0  0001 80005559a4ce9134  0001 26681a8e8aa486b8  0001 80004b05a0658d41  0001 1ea418dc90dc866a  0001 800055a8bea090c0  0001 20a61809903c82ee  0001 80004da6af7c9e5c  0001 22c81890900d8048  0001 80004146a161942b  0001 1e301ae08c1a84bc  0001 80004073baa29f94  0001 1e5c1c5a8abe80a8  0001 80005860b7159223  0001 241418288c428874  0001 80005242b1d78608  0001 22c21cac8a8c8098  0001 80004b49b2ab9423  0001 226616ce8ecc8086  0001 80005ce0a581809f  0001 265216609222867c  0001 80004a09ba208b2c  0001 224c16888e6482e8  0001 80004b5dac9a800b  0001 24141a728ede828c  0001 80005fd9a7979b1f  0001 207818d692cc865a  0001 800046f3b3d587b7  0001 201c14088e2e8834  0001 8000420ab32a916c  0001 1eea14329082829a  0001 80005d1cb4ca8e55  0001 20c81a3a8e988209  0001 80005bd7b2b9906b  0001 26b01c8e90208658  0001 80005263a3c69e91  0001 2656145c90ee88d2  0001 80004fbaa7599a56  0001 24141c548c5888bc  0001 80004af2aee79f83  0001 1ea61a788c748474  0001 80005b2fa27f9e12  0001 1e8e14c490288400  0001 8000461ba9d082ed  0001 2412165e8a9684e8  0001 80004914b3a98cac  0001 20601632922486b8  0001 800040e1acd28080  0001 260f16a890048852  0001 80005d11a9b48f3c  0001 226814dc8a708414  0001 80005d0daf4c9bcf  0001 20e814c092128092  0001 80004915ae8c995c  0001 1e8216098ea684c0  0001 8000530dbd198dc1  0001 206418a88a018448  0001 80005c36a1a187f3  0001 1e12162e92d2848e  0001 800043e9a85d8f02  0001 242814ba90ae808a  0001 800041c9a690976d  0001 227e1ce292c88034  0001 8000563da8f58f02  0001 26b618a88a7e880b  0001 800054ddb0c385f8  0001 24b6183c8a6c849a  0001 8000407eb8e38c7d  0001 260e16048e468060  0001 80004ca1b31d9555  0001 26aa16e890aa86ae  0001 80004226af2e9eac  0001 20d61aa28cd48410  0001 80005b97bab49a55  0001 24a814088e548856  0001 80004bc7bd1287a1  0001 1e26147492708624  0001 80004d25be5d88ce  0001 268c14c08a9888b8  0001 80005bc2a61a8a96  0001 221a1cd48c068626  0001 80005fc4adf29aa3  0001 2028140b926c8092  0001 80005118b0c584b4  0001 221014508a8c80da  0001 800047a5aa64829c  0001 26ec1cba8a328008  0001 80005132b7439f52  0001 205816a68a0d8062  0001 80004e5da0db9406  0001 223a1cc6906c882a  0001 800056aebc8887cd  0001 205a1cdc8e9e80e6  0001 80005c98a6108b80  0001 261e16b08e0688dc  0001 800050ffbdb69c64  0001 22c41ae28eea860e  0001 80005333bf5e8c31  0001 200e1ae68c4a8438  0001 80005d0caec38aac  0001 22c218ee906e80b6  0001 800050dfb20698d0  0001 24981a0a8ece80b2  0001 80005f38b9a684ac  0001 1eea180f8c1e88b2  0001 80004df8b7eb9173  0001 201c14a08ab8822e  0001 8000520dadd98424
Frame 0139    0001 4ccc3e963a9a2894  0001 0000000000000000  0001 4c0a4222320d2aca  0001 0000000000000000  0001 46b440163224281c  0001 0000000000000000  0001 46d044a638cc2c9a  0001 0000000000000000  0001 485c3e34383c28d6  0001 0000000000000000  0001 46203e8c32e22aa8  0001 0000000000000000  0001 4cee424c34ca2eb8  0001 0000000000000000  0001 4e053cbc38053046  0001 0000000000000000  0001 4c9e3e1a347c2a70  0001 0000000000000000  0001 4cba3c5e32d62c38  0001 0000000000000000  0001 4e223e3838382c26  0001 0000000000000000  0001 4aca447c3a5e2ade  0001 0000000000000000  0001 4a2a42c636262ae4  0001 0000000000000000  0001 4a183c6234002c60  0001 0000000000000000  0001 4658407e38ac2cc6  0001 0000000000000000  0001 4e9e427632ce30a8  0001 0000000000000000  0001 4e263ec036ee2802  0001 0000000000000000  0001 4e0e44be327630c8  0001 0000000000000000  0001 4c784032367c2a24  0001 0000000000000000  0001 4c743c1038222880  0001 0000000000000000  0001 489044cc38322ee0  0001 0000000000000000  0001 48dc442632402ea8  0001 0000000000000000  0001 460d447e3a882a68  0001 0000000000000000  0001 4e26425a38162803  0001 0000000000000000  0001 4674425832a830ac  0001 0000000000000000  0001 48aa44bc320c2e32  0001 0000000000000000  0001 4a1440dc36923084  0001 0000000000000000  0001 4a6c446232522e60  0001 0000000000000000  0001 4c963e14367228c0  0001 0000000000000000  0001 4e9c3c5e3a7c307c  0001 0000000000000000  0001 4cd03c1234ea2896  0001 0000000000000000  0001 4ee640503a0a2aa2  0001 0000000000000000  0001 4e6c3cc4382a2a8a  0001 0000000000000000  0001 4ee2447636c22e3c  0001 0000000000000000  0001 4c143e4c38542ed8  0001 0000000000000000  0001 4caa3e6434342c06  0001 0000000000000000  0001 4c643e043a0d2846  0001 0000000000000000  0001 4aae3c7638182801  0001 0000000000000000  0001 48e23c363a562c24  0001 0000000000000000  0001 4c2e3e9638663074  0001 0000000000000000  0001 4690449838402850  0001 0000000000000000  0001 4ca240d83aec30bc  0001 0000000000000000  0001 4e7044b838582c7e  0001 0000000000000000  0001 4824425e32b42e80  0001 0000000000000000  0001 46a43ec634542834  0001 0000000000000000  0001 4e783c503400280f  0001 0000000000000000  0001 46123c7036ae2c1c  0001 0000000000000000  0001 460544c438722c86  0001 0000000000000000  0001 489a425e36b22cb6  0001 0000000000000000  0001 4a783e2636122aa4  0001 0000000000000000  0001 4c243e0a387a3078  0001 0000000000000000  0001 48e6402a384a2c34  0001 0000000000000000  0001 463a447632462c78  0001 0000000000000000  0001 4ea242303a3c2c90  0001 0000000000000000  0001 4c283e223a0a2e09  0001 0000000000000000  0001 46033e8232e62c3a  0001 0000000000000000  0001 4860420136462c4e  0001 0000000000000000  0001 4ace406c38522e20  0001 0000000000000000  0001 4e6c40b234ea2e96  0001 0000000000000000  0001 46a23ec8343e2e20  0001 0000000000000000
Frame 0140    0001 00000000000058d6  0001 0000000000000000  0001 000000000000586a  0001 0000000000000000  0001 0000000000005234  0001 0000000000000000  0001 00000000000052a2  0001 0000000000000000  0001 00000000000052a0  0001 0000000000000000  0001 00000000000054da  0001 0000000000000000  0001 0000000000005274  0001 0000000000000000  0001 000000000000544c  0001 0000000000000000  0001 0000000000005826  0001 0000000000000000  0001 00000000000050ea  0001 0000000000000000  0001 00000000000054ca  0001 0000000000000000  0001 000000000000529e  0001 0000000000000000  0001 0000000000005290  0001 0000000000000000  0001 000000000000523e  0001 0000000000000000  0001 0000000000005024  0001 0000000000000000  0001 0000000000005458  0001 0000000000000000  0001 0000000000005644  0001 0000000000000000  0001 00000000000054ee  0001 0000000000000000  0001 0000000000005650  0001 0000000000000000  0001 0000000000005226  0001 0000000000000000  0001 000000000000584a  0001 0000000000000000  0001 00000000000056c2  0001 0000000000000000  0001 00000000000050ec  0001 0000000000000000  0001 0000000000005820  0001 0000000000000000  0001 00000000000056e4  0001 0000000000000000  0001 000000000000562a  0001 0000000000000000  0001 0000000000005800  0001 0000000000000000  0001 0000000000005286  0001 0000000000000000  0001 0000000000005218  0001 0000000000000000  0001 0000000000005268  0001 0000000000000000  0001 00000000000058bc  0001 0000000000000000  0001 00000000000058ea  0001 0000000000000000  0001 00000000000058a2  0001 0000000000000000  0001 000000000000543c  0001 0000000000000000  0001 000000000000564c  0001 0000000000000000  0001 00000000000058d6  0001 0000000000000000  0001 00000000000050a2  0001 0000000000000000  0001 0000000000005278  0001 0000000000000000  0001 0000000000005094  0001 0000000000000000  0001 00000000000054c0  0001 0000000000000000  0001 00000000000054d0  0001 0000000000000000  0001 00000000000052aa  0001 0000000000000000  0001 00000000000050e0  0001 0000000000000000  0001 0000000000005600  0001 0000000000000000  0001 00000000000050da  0001 0000000000000000  0001 0000000000005888  0001 0000000000000000  0001 0000000000005018  0001 0000000000000000  0001 0000000000005284  0001 0000000000000000  0001 00000000000054b8  0001 0000000000000000  0001 0000000000005088  0001 0000000000000000  0001 00000000000050be  0001 0000000000000000  0001 00000000000050c4  0001 0000000000000000  0001 00000000000050ee  0001 0000000000000000  0001 00000000000050e2  0001 0000000000000000  0001 000000000000506e  0001 0000000000000000  0001 000000000000589e  0001 0000000000000000  0001 000000000000567c  0001 0000000000000000  0001 0000000000005278  0001 0000000000000000  0001 00000000000050da  0001 0000000000000000  0001 00000000000050cc  0001 0000000000000000
Frame 0141    0001 5e6c30149a528668  0001 0000000000000000  0001 586438ba9c8a80d4  0001 0000000000000000  0001 4eaa4656a60090ac  0001 0000000000000000  0001 52003c0fa2548a20  0001 0000000000000000  0001 4ee636b89aec80cc  0001 0000000000000000  0001 5eac44a4ae348666  0001 0000000000000000  0001 4a863cca9c7c949c  0001 0000000000000000  0001 5aee44cc9cc89436  0001 0000000000000000  0001 4a943230a8348ed4  0001 0000000000000000  0001 4c963e34ac368e3e  0001 0000000000000000  0001 4e7636eea0ea961e  0001 0000000000000000  0001 48563002980780b8  0001 0000000000000000  0001 48ce3c069c988414  0001 0000000000000000  0001 585c3a099e1480a0  0001 0000000000000000  0001 4a0f3a1aa8209672  0001 0000000000000000  0001 5e783e70a60a8868  0001 0000000000000000  0001 5e7c34e6a6ae960c  0001 0000000000000000  0001 4e6a3280aa0e8ec0  0001 0000000000000000  0001 4cec3c28ac9688e6  0001 0000000000000000  0001 54da4434a4168ac8  0001 0000000000000000  0001 4a623482986a8cec  0001 0000000000000000  0001 5002444caaaa9454  0001 0000000000000000  0001 548830e8a0c08ab2  0001 0000000000000000  0001 58e6361ea8868044  0001 0000000000000000  0001 5c8a4462a67894a0  0001 0000000000000000  0001 5426340ba2009410  0001 0000000000000000  0001 52863844a69690ca  0001 0000000000000000  0001 5e903832a85c8e18  0001 0000000000000000  0001 48b6343c9803880f  0001 0000000000000000  0001 542244caa6669454  0001 0000000000000000  0001 5a62325aac548034  0001 0000000000000000  0001 561e4672ae9a90d8  0001 0000000000000000  0001 5ab0320cae308c86  0001 0000000000000000  0001 48da4288a0d28ea2  0001 0000000000000000  0001 540738d2aa848e08  0001 0000000000000000  0001 565e420fa26a8c54  0001 0000000000000000  0001 5e5c36949cd69652  0001 0000000000000000  0001 56ca40e6acd28c14  0001 0000000000000000  0001 509a4236a8b8840e  0001 0000000000000000  0001 526a443eacc28806  0001 0000000000000000  0001 5c1a3e34a01a84d6  0001 0000000000000000  0001 5e9e301ca0468005  0001 0000000000000000  0001 4cba3896a4488028  0001 0000000000000000  0001 587042869a708408  0001 0000000000000000  0001 580b389ea81e8868  0001 0000000000000000  0001 56603c98a03e8e32  0001 0000000000000000  0001 4a204024ac088c1e  0001 0000000000000000  0001 48a8461aae1894da  0001 0000000000000000  0001 58bc389298868832  0001 0000000000000000  0001 58203a549c06944a  0001 0000000000000000  0001 5a4c36d2a8b49256  0001 0000000000000000  0001 5ec03642a8369212  0001 0000000000000000  0001 500a46ca98ae8e16  0001 0000000000000000  0001 5c033aa4a08e8874  0001 0000000000000000  0001 4e9830c0a81a901a  0001 0000000000000000  0001 5e8a4260aa4c90a6  0001 0000000000000000  0001 480434b6aa038c26  0001 0000000000000000  0001 52603409a2b0800f  0001 0000000000000000  0001 56dc30ce9a14844a  0001 0000000000000000  0001 5e5042aaa4a2889c  0001 0000000000000000
